name	aeroway	@lat	@lon
Landepunkt West	helipad	49.2657285	6.8325309
Landepunkt Mitte	helipad	49.2542366	6.8418501
	helipad	42.7969930	1.0721542
	helipad	47.9652367	1.8713614
	helipad	46.8637785	3.1599976
	helipad	45.0448774	7.3605784
	helipad	44.7014283	7.6824838
	helipad	44.8944233	8.4104601
	helipad	44.9530874	6.8737222
	helipad	45.2017347	-1.1208837
Cresmino	helipad	46.1827095	8.7088499
ThyssenKrupp Finnentrop	helipad	51.1678971	7.9704161
	helipad	51.3452717	1.3415596
	helipad	43.7930902	-1.4125392
	helipad	51.4071221	-0.6186494
	helipad	42.2443068	8.6684999
	helipad	42.2427918	8.6835109
	helipad	44.5647450	7.3944675
	helipad	43.4259998	-1.6132361
Oakhampton Park	helipad	51.0608330	-3.2901870
	helipad	50.9280773	-0.0615105
	helipad	51.0662560	0.0705006
Aire principale	helipad	43.5236838	4.9275620
	helipad	46.0579684	8.3079777
	helipad	48.7365208	2.3811836
	helipad	44.6238896	8.8428162
	helipad	45.2811719	7.4743339
	helipad	46.2627270	8.8474469
	helipad	45.7599114	8.3080242
Rettungshelikoper-Landeplatz	helipad	51.4310022	8.0069312
	helipad	42.7623602	1.4777537
Héliport de Saint-Etienne de Montluc	heliport	47.2830916	-1.7379857
Héliport de la Baisse du Castellas	helipad	43.2151123	6.1909114
	helipad	45.7207588	8.1511607
	helipad	47.2005596	7.5386302
	helipad	47.5826286	4.8681323
	helipad	46.1618696	8.8820587
	helipad	46.1618455	8.8818280
	helipad	46.4145036	8.8465530
	helipad	47.6384107	6.1964476
	helipad	45.4915482	6.6836303
	helipad	45.4938159	6.7363872
	helipad	43.4603482	-1.5769426
	helipad	42.9577974	-0.3343116
	helipad	51.3519523	-2.1412590
Riveo	helipad	46.2953230	8.6286596
Cevio	helipad	46.3092788	8.6010150
Lodano	helipad	46.2614937	8.6829397
Linescio	helipad	46.3113864	8.5884856
Coglio	helipad	46.2667308	8.6846198
Giumaglio	helipad	46.2743587	8.6769499
Someo	helipad	46.2825949	8.6622384
	helipad	50.8481394	2.8828973
	helipad	45.9100760	8.2216386
	helipad	51.3834583	4.1869715
Whitehouse Farm Helicopter Base	heliport	50.8819308	-2.8585937
	helipad	44.9576688	7.9201716
	helipad	43.0703652	5.9220386
	helipad	44.0616574	7.6030755
Eliporto Val Resa	helipad	46.1955607	8.8162272
	helipad	42.7793659	-0.1244887
	helipad	44.1376401	4.8590333
	helipad	44.5395481	-1.1355550
	helipad	44.8244248	-0.7089277
	helipad	44.8235651	-0.7047207
	helipad	48.2801914	-4.4437831
	helipad	48.2806112	-4.4442894
	helipad	43.9100678	-0.5088703
	helipad	47.4296417	0.7232066
	helipad	50.4146286	-4.3942581
	helipad	47.7536307	-3.4295687
	helipad	47.4364540	0.7197261
	helipad	47.4364789	0.7194136
	helipad	43.7572445	4.4216531
	helipad	43.7568892	4.4207839
	helipad	47.7552731	-3.4350602
	helipad	47.7551619	-3.4314505
	helipad	48.2799491	-4.4427258
	helipad	48.2797339	-4.4431264
	helipad	48.2795292	-4.4435174
	helipad	48.2793268	-4.4431952
	helipad	48.2795673	-4.4427518
	helipad	48.2796714	-4.4423495
	helipad	48.2791508	-4.4420924
	helipad	48.2788633	-4.4426245
	helipad	48.2788558	-4.4436501
	helipad	48.2786308	-4.4433720
	helipad	48.2781295	-4.4420967
	helipad	48.2775993	-4.4438476
	helipad	48.2806817	-4.4317560
	helipad	48.2805067	-4.4325425
	helipad	48.2805247	-4.4334200
	helipad	48.2807128	-4.4340295
	helipad	48.2803415	-4.4341352
	helipad	48.2803530	-4.4346538
	helipad	48.2804805	-4.4343294
	helipad	48.2807799	-4.4344130
	helipad	48.2809996	-4.4340093
	helipad	48.2807962	-4.4351184
	helipad	48.2807897	-4.4355731
	helipad	48.2805742	-4.4359036
	helipad	48.2803350	-4.4361640
	helipad	48.2803362	-4.4365403
